rep,start,end,peak_idx,peak_time,rms,mdf,env_peak,rep_duration,is_fatigued,file_id,rms_rel_base,rms_delta_base,mdf_rel_base,mdf_delta_base,env_peak_rel_base,env_peak_delta_base,rep_duration_rel_base,rep_duration_delta_base,rms_diff1,rms_roll3_mean,mdf_diff1,mdf_roll3_mean,env_peak_diff1,env_peak_roll3_mean,peak_time_diff1
2,8806,13725,11190,5.595,354.7224807304911,72.265625,550.6437929390967,4919,0,10-01,1.097461760172988,31.50166921585543,1.0277777777631605,1.953125,1.072188603110502,37.073893631676015,0.7604349170358506,-1549.666666666667,36.67683420265581,336.38406362916317,3.90625,70.3125,-6.097060217506282,553.6923230478499,2.384
3,13725,19406,16260,8.13,296.89430728558074,70.3125,433.3250518265622,5681,0,10-01,0.9185494767289099,-26.326504229054933,0.9999999999857777,0.0,0.8437508748275218,-80.24484748085848,0.8782335360196518,-787.666666666667,-57.82817344491036,323.2208115146357,-1.953125,70.3125,-117.3187411125345,513.5698993074205,2.535000000000001
4,19406,25551,22552,11.276,355.1562731510998,72.265625,514.5734589357402,6145,0,10-01,1.0988038532720512,31.93546163646414,1.0277777777631605,1.953125,1.001954085760616,1.0035596283195218,0.949963928681704,-323.66666666666697,58.26196586551907,335.5910203890572,1.953125,71.61458333333333,81.248407109178,499.5141012337997,3.145999999999999
5,25551,31547,28550,14.275,333.76429816374343,66.40625,470.5316579822206,5996,0,10-01,1.0326200735610669,10.543486649107763,0.9444444444310123,-3.90625,0.9161978897436244,-43.03824132520003,0.9269298155208295,-472.66666666666697,-21.391974987356377,328.60495953347464,-5.859375,69.66145833333333,-44.041800953519555,472.81005624817436,2.9990000000000006
6,31547,37343,34544,17.272,344.98641586635546,70.3125,466.29329101300016,5796,0,10-01,1.0673397367225745,21.765604351719787,0.9999999999857777,0.0,0.9079451339358406,-47.2766082944205,0.8960115428216691,-672.666666666667,11.222117702612024,344.6356623937329,3.90625,69.66145833333333,-4.238366969220465,483.7994693103203,2.996999999999998
7,37343,42864,40142,20.071,385.66819273936835,68.359375,566.0261610548092,5521,0,10-01,1.1932034664813402,62.44738122473268,0.972222222208395,-1.953125,1.1021404521897151,52.45626174738857,0.8534989178603235,-947.666666666667,40.68177687301289,354.80630225648906,-1.953125,68.359375,99.73287004180906,500.9503700166767,2.799000000000003
8,42864,48462,45586,22.793,369.62930290405484,66.40625,526.9541947397717,5598,0,10-01,1.1435813837939521,46.40849138941917,0.9444444444310123,-3.90625,1.0260612926290549,13.384295432350996,0.8654024528495002,-870.666666666667,-16.038889835313512,366.76130383659284,-1.953125,68.359375,-39.07196631503757,519.7578822691937,2.7219999999999978
9,48462,53841,51339,25.6695,391.5329327228601,60.546875,533.4624390332333,5379,1,10-01,1.2113481520168756,68.31212120822443,0.8611111110988642,-9.765625,1.038733850546148,19.89253972581264,0.8315469442439196,-1089.666666666667,21.903629818805257,382.2768094554278,-5.859375,65.10416666666667,6.508244293461644,542.1475982759381,2.8765
10,53841,59022,56343,28.1715,442.74649283343643,64.453125,601.2473071008491,5181,1,10-01,1.3697957466207857,119.52568131880076,0.9166666666536296,-5.859375,1.170721469288788,87.67740779342842,0.8009378542717508,-1287.666666666667,51.21356011057634,401.3029094867838,3.90625,63.802083333333336,67.78486806761578,553.8879802912847,2.5020000000000024
11,59022,71800,61701,30.8505,269.0093133148768,66.40625,614.2202463621069,12778,1,10-01,0.8322772040991042,-54.211498199758864,0.9444444444310123,-3.90625,1.1959817878524874,100.65034705468622,1.9753684427493594,6309.333333333333,-173.73717951855963,367.7629129570578,1.953125,63.802083333333336,12.972939261257807,582.9766641653965,2.6789999999999985
1,0,6319,3783,1.8915,338.0979155429176,68.359375,572.7561403250278,6319,0,10-02,0.9213425269280503,-28.864322344099094,0.9545454545321256,-3.2552083333333286,1.0590940105302515,31.957934850133597,1.239505688505053,1221.0,0.0,338.0979155429176,0.0,68.359375,0.0,572.7561403250278,0.0
2,6319,10941,8855,4.4275,386.21036325143706,74.21875,566.5751876622734,4622,0,10-02,1.0524526051350662,19.24812536442039,1.036363636349165,2.6041666666666714,1.0476646962311864,25.77698218737919,0.9066300510002144,-476.0,48.11244770851948,362.15413939717735,5.859375,71.2890625,-6.180952662754407,569.6656639936506,2.5360000000000005
3,10941,15294,13027,6.5135,376.57843486669526,72.265625,483.06328843738146,4353,0,10-02,1.026204867928708,9.616196979678591,1.0090909090768185,0.6510416666666714,0.8932412932330149,-57.73491703751273,0.8538642604941439,-745.0,-9.631928384741798,366.96223788701667,-1.953125,71.61458333333333,-83.51189922489192,540.7982054748942,2.0859999999999994
4,15294,19889,17561,8.7805,397.7600822110305,72.265625,617.9647511617927,4595,0,10-02,1.0839264674759592,30.79784432401385,1.0090909090768185,0.6510416666666714,1.1426900919872565,77.16654568689853,0.9013338564141032,-503.0,21.18164734433526,386.8496267763876,0.0,72.91666666666667,134.90146272441126,555.8677424204825,2.2670000000000003
5,19889,25053,22218,11.109,399.18897900368717,72.265625,555.8472302208825,5164,0,10-02,1.087820319881265,32.226741116670496,1.0090909090768185,0.6510416666666714,1.027827430994793,15.049024745988277,1.01294625343252,66.0,1.4288967926566443,391.1758320271377,0.0,72.265625,-62.117520940910254,552.2917566066856,2.3285
